simucont_id_all, naive_alloc_Mha, min_alloc_Mha, opt_alloc_Mha, max_possible_alloc_Mha
   55612004,                    0.00006931,                    0.00006021,                    0.00006021,                    0.00012423
   55613001,                    0.29940110,                    0.15577012,                    0.15577012,                    0.39549048
   55613002,                    0.07337606,                    0.03812201,                    0.03812201,                    0.09685314
   55613004,                    1.54968887,                    0.80512990,                    0.80512990,                    2.04552048
   55616001,                   10.38741604,                    2.82361642,                    2.82361642,                    5.06400000
   55616002,                    1.58621373,                    0.85358806,                    0.85358806,                    1.68800000
   55617001,                    3.46255511,                    0.94122806,                    0.94122806,                    1.68600000
   55618001,                    3.29121041,                    3.87106996,                    8.24000000,                    8.24000000
   55619001,                    6.07689546,                    6.41175610,                    6.41175610,                    6.41175610
   55620001,                    5.92939742,                    0.00000000,                    0.00000000,                    0.00000000
   55621001,                    5.58335532,                    5.57015983,                    7.93000000,                    7.93000000
   55626001,                    0.01950834,                    0.01716365,                    0.02651299,                    0.02651299
   55627001,                    0.02440965,                    0.02147587,                    0.02147587,                    0.03318588
   55632001,                    8.63461215,                    7.59682364,                   10.03876968,                   11.72447571
   55633001,                    1.04820800,                    0.92222455,                    0.92222455,                    1.42452694
   55634001,                    1.13084165,                    0.83187379,                    0.83187379,                    7.78201915
   55635001,                    1.25524005,                    1.90757188,                    1.90757188,                    4.07603412
   55635002,                    1.28639429,                    1.95473134,                    1.95473134,                    8.33857796
   55635003,                    0.76728719,                    0.39863864,                    0.39863864,                    1.01708218
   55635004,                    1.28639429,                    1.95473134,                    1.95473134,                    8.52593861
   55636001,                    1.36553254,                    1.98171964,                    1.98171964,                    2.88875228
   55636002,                    3.83166972,                    5.55252165,                    5.55252165,                   14.04364853
   55637001,                    7.73370128,                    3.51540163,                    3.51540163,                    7.53722446
   55639004,                    0.09816935,                    0.05100319,                    0.05100319,                    0.12970379
   55640001,                    2.73459813,                    1.42074113,                    1.42074113,                    3.59597876
   55643001,                    2.21934869,                    0.35939908,                    0.35939908,                    0.99413583
   55644001,                   11.42544542,                   13.77994895,                   15.67929640,                   15.67929640
   55645001,                   11.85872369,                   12.41935539,                   12.41935539,                   12.41935539
   55659001,                    0.00446959,                    0.00101915,                    0.00101915,                    0.00354478
   55659002,                    1.04470591,                    0.23821268,                    0.23821268,                    0.82854421
   55660001,                    0.05587421,                    0.04110238,                    0.04110238,                    0.38450092
   55660002,                    0.24790940,                    0.18236800,                    0.18236800,                    1.70600000
   55661001,                    3.61192364,                    4.79880186,                    4.79880186,                   17.04705150
   55661002,                    1.99095711,                    2.50297232,                    2.50297232,                    6.78745811
   55661003,                    1.48740417,                    0.39650144,                    0.39650144,                    1.18143118
   55662001,                    0.27966748,                    0.12712458,                    0.12712458,                    0.27275089
   55662002,                    0.37449112,                    0.11056870,                    0.11056870,                    0.32001035
   55663001,                    1.89991989,                    0.86362031,                    0.86362031,                    1.85165581
   55664001,                    0.40302182,                    0.20938714,                    0.20938714,                    0.53298388
   55665002,                    0.60445215,                    0.31403884,                    0.31403884,                    0.79864711
   55665003,                    0.23930808,                    0.12433082,                    0.12433082,                    0.31619162
   55665004,                    0.86624511,                    0.45005153,                    0.45005153,                    1.13590210
   55666002,                    0.00505617,                    0.00362845,                    0.00362845,                    0.00958053
   55667001,                    1.23146151,                    0.88373178,                    0.88373178,                    2.33094853
   55667005,                    0.29325621,                    0.21044899,                    0.21044899,                    0.55508444
   55668002,                    0.05096065,                    0.03657081,                    0.03657081,                    0.09633391
   55669001,                    3.83135435,                    0.65444141,                    0.65444141,                    1.65400000
   55690001,                    2.15530432,                    2.55939288,                    2.55939288,                    6.73961038
   55691002,                    0.02220332,                    0.00000000,                    0.00000000,                    0.00000000
   55691003,                    0.04645685,                    0.03417475,                    0.03417475,                    0.31982115
   55693001,                    2.14655017,                    0.57221181,                    0.57221181,                    1.70510656
   55693002,                   16.17035652,                   20.28461857,                   20.28461857,                   56.92536343
   55697002,                    0.00743274,                    0.00386163,                    0.00386163,                    0.00981956
   55698001,                    0.86246997,                    0.38243682,                    0.38340977,                    0.38340977
   55698002,                    0.12495316,                    0.08966994,                    0.08966994,                    0.23676169
   55699001,                    0.36170572,                    0.25957031,                    0.25957031,                    0.68455263
   55700001,                    0.21490740,                    0.15422366,                    0.15422366,                    0.40625208
   55707001,                   11.89409724,                   12.79828955,                   14.96000000,                   14.96000000
   55708001,                    3.18224300,                    0.10676792,                    0.10676792,                    0.10676792
   55718001,                    0.01531630,                    0.01531630,                    0.01531630,                    0.07424300
   55719004,                    0.01961100,                    0.01961100,                    0.01961100,                    0.09508188
   55721001,                    0.38560546,                    0.50477945,                    0.50477945,                    5.39910422
   55722001,                    1.60065277,                    0.27311742,                    0.27311742,                    1.70600000
   55723001,                    0.82306187,                    0.92080220,                    0.92080220,                    4.38621174
