codmun_ibge, simucont_id_all, x_alloc_area_Mha, distance_Euclidian
   140045,74146001,                    0.38292152,                    0.92693705
   140045,96358003,                    0.28844733,                    0.96253541
   150070,40973001,                    2.13844773,                    1.13565195
   150070,40973002,                    9.64877124,                    1.39718253
   150070,40974001,                    0.38238479,                    1.34735672
   150070,40974005,                   13.35372751,                    1.31082206
   150070,41010001,                   37.85244280,                    1.22406097
   150070,41043001,                    8.52947138,                    1.14923660
   150070,41043002,                    0.00003876,                    0.87125157
   150070,41074001,                    1.55918768,                    1.12178401
   150070,41075001,                   19.65014044,                    1.43895836
   150070,41099001,                    6.64195334,                    1.17860064
   150070,41100001,                    1.44165240,                    1.39243758
   150200,14505002,                    0.53045668,                    0.60631230
   150200,41121001,                    1.00294686,                    0.67848277
   150200,41144001,                   82.59435154,                    0.80288057
   150250,14398001,                    1.39756536,                    0.96742783
   150250,14426001,                    1.57409681,                    1.17363479
   150250,14426002,                    1.57459173,                    1.11103160
   150250,14427002,                    4.87165717,                    1.03640372
   150250,14448001,                    1.05952277,                    1.16142737
   150250,41005001,                  122.52587698,                    1.22822495
   150250,41006001,                   53.90211338,                    1.05770681
   150250,41038001,                    3.82002433,                    1.11357688
   150490,41099002,                   21.98315832,                    0.59421703
   150490,41122001,                   10.20095509,                    0.71906544
   150570,41122001,                  122.01451237,                    0.75195747
   150630,41144001,                    5.29319475,                    0.64588846
   150640,41122001,                   52.63818964,                    1.33606229
   150770,41100001,                    0.77216581,                    0.72595632
   150790,14504001,                   16.45062981,                    0.61519214
   150790,14505001,                    2.04203200,                    0.73022962
   150790,14520001,                   15.07345929,                    0.90954918
   150790,41143001,                   17.27140811,                    0.71709947
   150790,41144001,                   25.92452365,                    0.91965714
   150790,41168001,                   50.37866366,                    0.97624330
   170025,1306001,                    1.40124835,                    0.47549043
   170025,1313001,                    3.46015147,                    0.56153426
   170025,1314001,                    5.59575222,                    0.52135293
   170025,41133001,                    2.56795806,                    0.71590132
   170025,41134001,                   41.26719084,                    0.71714442
   170025,52071001,                    5.89925367,                    0.62982811
   170025,74408001,                    4.02394248,                    0.58630663
   170025,74415001,                    1.42472395,                    0.52508761
